"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 26 18:32:31 GMT 2021","Thu Aug 26 18:32:36 GMT 2021","4652","","LogoutTest","","LogoutTest","loginWithNotRegisteredEmail","loginWithNotRegisteredEmail()",""
"passed","Thu Aug 26 18:33:24 GMT 2021","Thu Aug 26 18:33:28 GMT 2021","4454","","LoginTest","","LoginTest","loginWithEmptyEmail","loginWithEmptyEmail()",""
"passed","Thu Aug 26 18:33:13 GMT 2021","Thu Aug 26 18:33:18 GMT 2021","5115","","LoginTest","","LoginTest","loginWithNotRegisteredEmail","loginWithNotRegisteredEmail()",""
"passed","Thu Aug 26 18:32:50 GMT 2021","Thu Aug 26 18:33:07 GMT 2021","16528","","LogoutTest","","LogoutTest","logout","logout()",""
"passed","Thu Aug 26 18:32:36 GMT 2021","Thu Aug 26 18:32:42 GMT 2021","5465","","LogoutTest","","LogoutTest","login","login()",""
"passed","Thu Aug 26 18:33:18 GMT 2021","Thu Aug 26 18:33:24 GMT 2021","5478","","LoginTest","","LoginTest","login","login()",""
"passed","Thu Aug 26 18:32:10 GMT 2021","Thu Aug 26 18:32:16 GMT 2021","6371","","DataTest","","DataTest","dataModifier","dataModifier()",""
"passed","Thu Aug 26 18:32:06 GMT 2021","Thu Aug 26 18:32:10 GMT 2021","4021","","RegistrationTest","","RegistrationTest","registrationWithInvalidEmail","registrationWithInvalidEmail()",""
"passed","Thu Aug 26 18:32:01 GMT 2021","Thu Aug 26 18:32:05 GMT 2021","4131","","RegistrationTest","","RegistrationTest","registrationWithEmptyField","registrationWithEmptyField()",""
"passed","Thu Aug 26 18:31:57 GMT 2021","Thu Aug 26 18:32:01 GMT 2021","4809","","RegistrationTest","","RegistrationTest","registrationWithAlreadyCreatedEmail","registrationWithAlreadyCreatedEmail()",""
"passed","Thu Aug 26 18:33:28 GMT 2021","Thu Aug 26 18:33:31 GMT 2021","2731","","TermsAndConditionsTest","","TermsAndConditionsTest","termsAndConditions","termsAndConditions()",""
"passed","Thu Aug 26 18:31:48 GMT 2021","Thu Aug 26 18:31:56 GMT 2021","8256","","RegistrationTest","","RegistrationTest","registration","registration()",""
"passed","Thu Aug 26 18:33:07 GMT 2021","Thu Aug 26 18:33:13 GMT 2021","6273","","LoginTest","","LoginTest","loginWithInvalidEmail","loginWithInvalidEmail()",""
"passed","Thu Aug 26 18:32:28 GMT 2021","Thu Aug 26 18:32:31 GMT 2021","3830","","LogoutTest","","LogoutTest","loginWithInvalidEmail","loginWithInvalidEmail()",""
"passed","Thu Aug 26 18:32:16 GMT 2021","Thu Aug 26 18:32:28 GMT 2021","11643","","DataTest","","DataTest","dataDelete","dataDelete()",""
"passed","Thu Aug 26 18:32:42 GMT 2021","Thu Aug 26 18:32:50 GMT 2021","8668","","LogoutTest","","LogoutTest","loginWithEmptyEmail","loginWithEmptyEmail()",""
